sk_id_curr,amt_credit,amt_goods_price,credit_agency_1_rating,credit_agency_2_rating,credit_agency_3_rating,days_credit,days_credit_enddate,remaining_installment,buro_avg_amt_instalment,buro_max_amt_instalment,occupation_type,organization_type,code_gender,days_birth,days_id_publish,customer_since,annual_income,days_employed,name_contract_type,target
1002500,545040.0,450000.0,0.218498,0.443471,0.377404,-771.0,231.0,6.90909,13072.2,13072.2,Laborers,Other,F,11929,487,946,120000,1862,Cash loans,0
1002501,157500.0,157500.0,0.0,0.447198,0.374021,-436.8,15870.5,0.0,0.0,0.0,High skill tech staff,Trade: type 3,F,21529,4831,7078,140000,264,Revolving loans,0
1002502,112500.0,112500.0,0.0,0.654592,0.0,0.0,0.0,13.1739,12522.5,19066.5,Drivers,Self-employed,M,16605,141,7161,160000,781,Cash loans,0
1002503,1040460.0,868500.0,0.0,0.617454,0.477649,-1431.63,-1065.63,12.2727,9923.91,51598.1,Core staff,Postal,F,16627,161,567,180000,2255,Cash loans,0
1002504,900000.0,900000.0,0.0,0.701791,0.629674,-1265.0,-1021.0,0.0,0.0,0.0,Sales staff,Self-employed,F,18928,2467,5507,200000,1850,Cash loans,0
1002505,343377.0,283500.0,0.0,0.592295,0.436507,-695.75,8929.43,10.3673,7716.96,25180.0,Laborers,Business Entity Type 3,M,18604,2135,10710,220000,120,Cash loans,0
1002506,225000.0,225000.0,0.86965,0.0887619,0.612704,-1224.33,-407.0,9.86792,10053.8,73984.5,Laborers,XNA,F,24559,3933,8769,240000,365243,Cash loans,0
1002507,284400.0,225000.0,0.0,0.623289,0.303146,-601.5,-293.0,9.2381,24603.6,26704.8,Sales staff,Self-employed,F,13991,1675,937,260000,811,Cash loans,0
1002508,553806.0,495000.0,0.0,0.479098,0.121408,-639.0,1148.5,18.6364,35905.2,566066.0,Drivers,Self-employed,M,19262,2807,7812,280000,1515,Cash loans,1
1002509,1350000.0,1350000.0,0.0,0.0999527,0.643026,-1295.4,-694.2,5.07692,15477.3,45709.5,Core staff,Self-employed,F,17773,1288,3738,300000,5618,Cash loans,0
1002510,225000.0,225000.0,0.483426,0.475295,0.114652,-866.5,-207.0,4.36,15501.0,27809.6,Cooking staff,Kindergarten,F,12165,3636,2500,320000,3190,Cash loans,0
1002511,384048.0,270000.0,0.0,0.774872,0.472253,-414.0,285.0,15.6364,11556.1,121770.0,Laborers,XNA,F,20243,3166,6631,340000,365243,Cash loans,0
1002512,1006920.0,900000.0,0.444772,0.558302,0.0,0.0,0.0,17.0,27587.0,287909.0,Sales staff,Business Entity Type 3,F,13770,2266,3338,360000,2679,Cash loans,0
1002513,1409720.0,1377000.0,0.690359,0.73359,0.720944,-760.5,434.0,2.625,13376.5,13376.5,Laborers,Other,F,13928,3163,7991,380000,6099,Cash loans,0
1002514,1762110.0,1575000.0,0.0,0.440111,0.300108,-1221.08,-484.846,3.14286,11235.5,264915.0,Managers,Business Entity Type 3,M,10728,3034,4947,400000,951,Cash loans,0
1002515,225000.0,225000.0,0.649727,0.418997,0.0,-180.0,1646.0,10.4909,11310.9,123931.0,Core staff,Self-employed,F,16678,216,6424,420000,559,Cash loans,0
1002516,1125000.0,1125000.0,0.852562,0.770834,0.0,-470.0,626.0,28.8,244763.0,1442660.0,Managers,Government,M,18960,2486,2639,440000,1197,Cash loans,0
1002517,929088.0,720000.0,0.505658,0.527031,0.344155,-668.0,428.0,6.0,10565.5,10566.3,High skill tech staff,Trade: type 6,F,8806,1494,8795,460000,149,Cash loans,0
1002518,225000.0,225000.0,0.380909,0.0293905,0.21035,-193.0,1633.0,19.0,23430.7,158992.0,Laborers,Business Entity Type 3,M,11060,3251,4735,480000,928,Cash loans,0
1002519,225000.0,225000.0,0.787124,0.712853,0.812823,-1806.29,-801.857,3.375,4324.47,4329.27,Private service staff,Self-employed,F,21035,4557,903,500000,3462,Cash loans,0
1002520,364500.0,364500.0,0.548076,0.509109,0.553165,-223.0,1603.0,10.9333,21509.7,116249.0,Laborers,Business Entity Type 3,F,8710,84,1866,520000,522,Cash loans,1
1002521,646920.0,540000.0,0.0,0.633648,0.301625,-775.25,8062.0,6.41667,9119.52,30315.9,Sales staff,Trade: type 7,F,13281,1676,7345,540000,133,Cash loans,1
1002522,479637.0,396000.0,0.0,0.695071,0.0,0.0,0.0,15.1818,32211.1,144825.0,Laborers,XNA,F,22834,4033,6370,560000,365243,Cash loans,0
1002523,517788.0,427500.0,0.379602,0.431305,0.265049,-1509.2,-1052.4,8.5,5118.08,5118.08,Laborers,XNA,F,22754,5050,5050,580000,365243,Cash loans,0
1002524,239850.0,225000.0,0.0,0.456877,0.0,-189.0,541.0,9.5,9623.97,9623.97,Laborers,XNA,F,24853,283,269,600000,365243,Cash loans,1
1002525,921330.0,823500.0,0.766922,0.729359,0.639708,-1797.0,-1049.0,12.8197,18764.4,58500.0,Managers,Business Entity Type 3,M,16506,15,6197,620000,1904,Cash loans,0
1002526,531707.0,459000.0,0.714532,0.571625,0.633032,-786.857,-330.857,17.2308,55142.4,711451.0,Laborers,XNA,F,21843,4597,11156,640000,365243,Cash loans,0
1002527,945000.0,945000.0,0.6365,0.669299,0.349055,-1495.33,4410.67,3.66667,5846.84,22938.9,Accountants,School,F,13184,4390,1117,660000,5728,Cash loans,0
1002528,260568.0,247500.0,0.507324,0.731512,0.4579,-1492.44,-1369.07,4.83333,6971.42,23936.5,Medicine staff,Construction,F,16420,3221,3472,680000,466,Cash loans,0
1002529,1125000.0,1125000.0,0.0,0.387183,0.768808,-890.0,-34.6667,8.73684,21236.0,36643.7,Laborers,XNA,M,22495,4368,9085,100000,365243,Cash loans,0
1002530,675000.0,675000.0,0.0,0.59098,0.0,-479.0,10478.0,12.561,35820.7,409650.0,Core staff,School,F,10726,1197,266,120000,1478,Cash loans,0
1002531,1255680.0,1125000.0,0.632423,0.78762,0.758393,-760.5,3701.75,5.2,11615.5,32771.2,Laborers,Business Entity Type 3,F,18808,2345,7239,140000,2433,Cash loans,0
1002532,239850.0,225000.0,0.0,0.525003,0.0,0.0,0.0,0.0,6664.55,59400.0,Laborers,XNA,M,22289,4061,10815,160000,365243,Cash loans,0
1002533,729792.0,630000.0,0.0,0.682576,0.513694,-952.333,-141.5,6.38462,6860.03,13822.3,Sales staff,Trade: type 7,F,13891,4235,4230,180000,787,Cash loans,0
1002534,270000.0,270000.0,0.0,0.760604,0.192942,-381.167,-153.5,3.0303,9294.7,20632.9,Laborers,Government,F,7763,430,5306,200000,1167,Revolving loans,1
1002535,288873.0,238500.0,0.350664,0.736036,0.694093,-536.4,2142.8,6.0,5527.3,6750.0,Drivers,Transport: type 3,M,15179,4133,7496,220000,3212,Cash loans,0
1002536,938304.0,810000.0,0.0,0.587153,0.684828,-634.4,-346.0,4.86667,29215.4,68015.3,Managers,Business Entity Type 3,M,20525,3333,6224,240000,6678,Cash loans,0
1002537,297131.0,256500.0,0.395976,0.678034,0.272134,-850.5,-309.25,8.0,12804.6,73122.4,Sales staff,Self-employed,F,15438,4710,4568,260000,3468,Cash loans,1
1002538,405000.0,405000.0,0.0,0.697208,0.740799,-1338.0,-241.0,6.0,28054.1,28058.0,Laborers,XNA,F,20786,1421,745,280000,365243,Revolving loans,0
1002539,1129500.0,1129500.0,0.0,0.685977,0.723837,-1257.57,-715.833,7.92537,3918.9,44100.0,Laborers,XNA,F,20665,4224,4180,300000,365243,Cash loans,0
1002540,1125170.0,1035000.0,0.0,0.519416,0.676992,-1904.0,53.5,8.95652,8308.43,37942.5,Laborers,Business Entity Type 3,M,15884,4922,3515,320000,1216,Cash loans,0
1002541,855000.0,855000.0,0.0,0.670112,0.53707,-898.0,-533.0,0.0,0.0,0.0,IT staff,Industry: type 11,M,10813,3401,4479,340000,553,Revolving loans,0
1002542,229500.0,229500.0,0.0,0.684851,0.294083,-653.0,895.0,2.78571,10679.7,14574.0,Core staff,Police,M,10573,3229,170,360000,3092,Cash loans,0
1002543,454500.0,454500.0,0.692035,0.59508,0.0,-1278.0,-862.333,4.4,4133.48,6196.95,Laborers,Transport: type 4,F,15978,3907,6147,380000,501,Cash loans,0
1002544,1082210.0,945000.0,0.51859,0.313644,0.404878,-717.4,1289.7,6.66667,13054.0,129017.0,Core staff,School,F,11200,2770,2089,400000,1663,Cash loans,0
1002545,135000.0,135000.0,0.0,0.699162,0.0,0.0,0.0,4.86,5709.42,10807.1,High skill tech staff,Medicine,F,16475,30,7391,420000,7822,Revolving loans,0
1002546,337500.0,337500.0,0.0,0.356344,0.425893,-992.8,3335.75,5.64706,31142.5,201469.0,Core staff,Government,F,20402,3945,14499,440000,1276,Revolving loans,0
1002547,545040.0,450000.0,0.0,0.543382,0.553165,-705.0,-354.0,8.0,8653.03,25715.0,Core staff,Postal,F,14388,4096,272,460000,1686,Cash loans,0
1002548,454500.0,454500.0,0.577825,0.528552,0.533482,-458.8,157.4,5.05263,17081.0,19137.5,Cooking staff,Business Entity Type 3,F,14861,4349,2556,100000,1012,Cash loans,0
1002549,254700.0,225000.0,0.63921,0.782811,0.0,-1711.18,-203.364,0.0,12596.5,256275.0,Drivers,Business Entity Type 1,M,22013,4037,10410,120000,14507,Cash loans,0
1002550,308133.0,234000.0,0.0,0.759311,0.612704,-1287.0,-921.0,7.0,5029.96,5029.96,Cooking staff,Business Entity Type 3,F,17004,521,7925,140000,312,Cash loans,0
1002551,1051250.0,877500.0,0.0,0.715803,0.612704,-1233.75,-226.0,6.61404,10809.0,409832.0,Accountants,Business Entity Type 3,F,12114,2389,1100,160000,95,Cash loans,0
1002552,742500.0,742500.0,0.0,0.79017,0.0,0.0,0.0,18.0,166468.0,550874.0,Core staff,Self-employed,F,11412,3391,1151,180000,2967,Cash loans,0
